Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\3rd Gear Pull 3.csv
Number of frames 365
Length: 0:00:17.281s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
0,0,0,2797,19.8839,2,0.0,-21.4,-29.9,-29.9,9,9,1.80,0,11.87,127,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.48,0.00,5,0.00,0.00,0,44,4,5,0,0,0.00,0,0,Off,Off,17,Off,0,-29.9,14.84,0.00,14.84,0.00,10.00,14.98,0.00,-7,0,0,0,-8,2,0,0,0,18,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.8591,19.6540,19.6416,19.7037,0,0.00,0,0,0.00,.0000,0.00,0.0,22.0,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
1,47,0,2799,19.8839,2,-0.2,-21.4,-29.9,-29.9,9,9,1.80,0,11.97,128,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.50,0.00,5,0.00,0.00,0,44,4,5,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.84,0.00,14.84,0.00,10.00,14.93,0.00,-7,0,0,0,-8,2,0,0,0,21,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.6292,19.6602,19.5297,19.5981,0,0.00,0,0,0.00,.0000,0.00,0.0,22.0,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
2,94,0,2803,19.8839,2,-0.2,-21.4,-29.9,-29.9,9,9,1.80,0,12.08,129,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.50,0.00,5,0.00,0.00,0,44,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.72,0.00,14.72,0.00,10.00,14.94,0.00,-7,0,0,0,-8,2,0,0,0,19,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.8529,19.7783,19.6043,19.6540,0,0.00,0,0,0.00,.0000,0.00,0.0,22.0,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
3,140,0,2808,19.8839,2,-0.3,-21.4,-29.9,-29.9,9,9,1.80,0,12.08,129,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.52,0.00,5,0.00,0.00,0,44,4,5,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.98,0.00,-7,0,0,0,-8,2,0,0,0,20,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.7907,19.7534,19.5795,19.7969,0,0.00,0,0,0.00,.0000,0.00,0.0,22.0,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
4,187,0,2819,19.8839,2,-0.1,-21.4,-29.9,-29.9,9,9,1.80,0,12.18,129,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.51,0.00,5,0.00,0.00,0,44,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.93,0.00,-7,0,0,0,-8,2,0,0,0,25,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.9274,19.7224,19.8280,19.8342,0,0.00,0,0,0.00,.0000,0.00,0.0,22.0,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
5,234,0,2828,19.8839,2,0.2,-21.4,-29.9,-29.9,9,9,1.80,0,11.97,126,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.48,0.00,5,0.00,0.00,0,44,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.63,0.00,14.63,0.00,10.00,14.95,0.00,-7,0,0,0,-8,2,0,0,0,19,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.8777,19.8529,19.6602,19.9150,0,0.00,0,0,0.00,.0000,0.00,0.0,22.3,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
6,281,0,2826,19.8839,2,-0.2,-21.4,-29.9,-29.9,9,9,1.80,0,11.97,127,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.47,0.00,5,0.00,0.00,0,44,4,5,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.63,0.00,14.63,0.00,10.00,14.99,0.00,-7,0,0,0,-8,2,0,0,0,16,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.9709,19.8591,19.8901,19.8777,0,0.00,0,0,0.00,.0000,0.00,0.0,22.3,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
7,328,0,2828,19.8839,2,0.0,-21.4,-29.9,-29.9,9,9,1.82,0,12.29,130,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.51,0.00,5,0.00,0.00,0,44,5,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.66,0.00,14.66,0.00,10.00,14.98,0.00,-7,0,0,0,-8,2,0,0,0,55,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,19.9461,19.8964,19.7286,19.9958,0,0.00,0,0,0.00,.0000,0.00,0.0,22.3,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
8,390,0,2835,19.8839,2,0.1,-21.4,-29.9,-29.9,8,9,1.80,0,12.18,128,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.50,0.00,5,0.00,0.00,0,44,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.96,0.00,-7,0,0,0,-8,2,0,0,0,24,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,20.0393,19.8839,19.8777,19.9336,0,0.00,0,0,0.00,.0000,0.00,0.0,22.3,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
9,437,0,2852,20.5053,2,-0.1,-21.5,-29.9,-29.9,8,9,1.82,0,12.39,130,0,0,91.4,32.0,194.0,91.4,0.0,0.00,32.0,2.46,0.00,5,0.00,0.00,0,44,4,4,0,0,0.00,0,0,Off,Off,25,Off,0,-29.9,14.72,0.00,14.72,0.00,10.00,14.94,0.00,-8,0,0,0,-9,2,0,0,0,25,0,0,0,0,0,67,40,1,1,0,0,0,0,0,14.20,32.0,20.0703,19.9647,19.9771,20.0331,0,0.00,0,0,0.00,.0000,0.00,0.0,22.3,0.739,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
