Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\6th Gear Cruise.csv
Number of frames 1304
Length: 0:01:03.250s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
0,0,0,2835,65.8655,6,-0.6,-11.1,-29.9,-29.9,19,17,2.36,0,28.73,304,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.24,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.28,0.00,14.28,0.00,10.00,14.74,0.00,-9,-1,0,0,-10,2,0,0,0,51,0,0,0,0,0,96,17,7,6,1,0,0,0,0,14.20,32.0,64.6725,64.3742,63.9890,64.2375,0,0.00,0,0,0.00,.0000,0.00,0.0,28.6,1.395,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
1,31,0,2833,65.2441,6,-0.7,-11.1,-29.9,-29.9,19,17,2.36,0,28.54,302,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.10,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.26,0.00,14.26,0.00,10.00,14.93,0.00,-9,-1,0,0,-10,2,0,0,0,21,0,0,0,0,0,96,17,7,6,1,0,0,0,0,14.20,32.0,64.4985,64.3494,64.3245,64.2375,0,0.00,0,0,0.00,.0000,0.00,0.0,28.6,1.395,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
2,93,0,2834,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,17,2.36,0,28.92,306,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.25,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.61,0.00,14.61,0.00,10.00,14.93,0.00,-9,-1,0,0,-10,2,0,0,0,51,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.5420,64.5233,64.4177,64.3618,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
3,140,0,2838,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,16,2.36,0,28.73,303,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.40,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.88,0.00,14.88,0.00,10.00,14.44,0.00,-9,-1,0,0,-10,2,0,0,0,44,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.6538,64.3742,64.1443,64.2251,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
4,187,0,2836,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,16,2.36,0,28.36,300,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.42,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.93,0.00,14.93,0.00,10.00,14.28,0.00,-8,-1,0,0,-10,2,0,0,0,25,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.6973,64.3742,64.0138,64.2562,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
5,234,0,2832,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,16,2.36,0,28.54,302,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.44,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.63,0.00,14.63,0.00,10.00,14.28,0.00,-8,-1,0,0,-10,2,0,0,0,14,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.4364,64.2624,64.3618,64.2375,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
6,281,0,2844,65.8655,6,-0.7,-11.3,-29.9,-29.9,19,16,2.34,0,27.98,295,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.36,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.31,0.00,14.31,0.00,10.00,14.28,0.00,-9,-1,0,0,-10,2,0,0,0,15,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.6538,64.3494,64.2375,64.2437,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
7,328,0,2837,65.8655,6,-0.6,-11.3,-29.9,-29.9,19,16,2.36,0,28.92,305,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.22,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.23,0.00,14.23,0.00,10.00,14.72,0.00,-10,-1,0,0,-11,2,0,0,0,24,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.6725,64.3742,64.1692,64.1443,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
8,375,0,2832,65.2441,6,-0.6,-11.3,-29.9,-29.9,19,17,2.38,0,29.11,308,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.12,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.26,0.00,14.26,0.00,10.00,14.94,0.00,-10,-1,0,0,-11,2,0,0,0,19,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.5606,64.1381,64.0138,64.1443,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
9,421,0,2834,65.2441,6,-0.5,-11.3,-29.9,-29.9,19,17,2.36,0,28.73,304,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.32,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.45,0.00,14.45,0.00,10.00,14.60,0.00,-10,-1,0,0,-11,2,0,0,0,15,0,0,0,0,0,96,18,7,6,1,0,0,0,0,14.20,32.0,64.5420,64.3742,64.3431,64.2624,0,0.00,0,0,0.00,.0000,0.00,0.0,28.7,1.396,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
