Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\4th Gear Pull 2.csv
Number of frames 669
Length: 0:00:32.547s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
0,0,0,3483,46.6030,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.95,59,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,21,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.6150,45.3229,45.2235,45.4534,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
1,47,0,3485,46.6030,4,0.0,-24.6,-29.9,-29.9,0,6,1.50,0,6.64,57,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,25,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.6274,45.3416,45.3726,45.4223,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
2,94,0,3477,45.9816,4,0.0,-24.6,-29.9,-29.9,0,6,1.50,0,6.79,58,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,25,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.5093,45.1365,45.1738,45.4037,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
3,140,0,3473,45.9816,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.95,60,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,16,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.4348,45.1800,45.1179,45.1987,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
4,187,0,3464,45.9816,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.87,59,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,35,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.4037,44.9563,44.9750,45.1552,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
5,250,0,3464,45.9816,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.95,60,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,17,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.20,32.0,45.2794,45.0992,45.1924,45.0930,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
6,297,0,3454,45.9816,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,7.12,61,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,37,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.1924,44.8072,44.9066,45.0557,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
7,344,0,3448,45.9816,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.87,59,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,19,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.0992,44.8942,45.2235,45.0247,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
8,390,0,3440,45.9816,4,0.0,-24.6,-29.9,-29.9,0,6,1.52,0,6.87,59,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,20,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.0744,44.7637,44.6146,44.8942,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
9,437,0,3440,45.3602,4,0.0,-24.6,-29.9,-29.9,0,6,1.50,0,6.79,59,0,0,82.4,32.0,185.0,93.2,0.0,0.00,32.0,0.00,0.00,0,0.00,0.00,0,25,0,0,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,29.40,0.00,29.40,0.00,10.00,29.40,0.00,0,-1,0,0,-1,4,0,0,0,42,0,0,0,0,0,84,50,3,2,1,0,0,0,0,14.30,32.0,45.0433,44.7637,44.8072,44.8445,0,0.00,0,0,0.00,.0000,0.00,0.0,770.7,1.147,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
